Key;language_scenario_Fact_MAE;language_scenario_Stance_MAE;country_scenario_Fact_MAE;country_scenario_Stance_MAE;language_country_scenario_Fact_MAE;language_country_scenario_Stance_MAE
Spanish;0.59;0.52;;;;
Spanish | Spain;;;;;0.52;0.54
Sweden;;;0.46;0.52;;
Swedish;0.61;0.58;;;;
Swedish | Finland;;;;;0.61;0.63
Swedish | Sweden;;;;;0.57;0.59
Switzerland;;;0.5;0.69;;
Turkey;;;0.35;0.97;;
Turkish;0.51;0.89;;;;
Turkish | Cyprus;;;;;0.5;0.78
Turkish | Turkey;;;;;0.24;0.9
Ukraine;;;0.5;0.9;;
Ukrainian;0.62;0.92;;;;
Ukrainian | Ukraine;;;;;0.52;0.86
United Kingdom;;;0.53;0.68;;
