Category;Subcategory;Description;Weight
Equality & non-discrimination;Education (gender identity);Education (gender identity) covers legislation prohibiting discrimination in the field of education. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;1.10
Equality & non-discrimination;Health (gender identity);Health (gender identity) covers legislation prohibiting discrimination in the field of health. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;1.10
Equality & non-discrimination;Conversion practices ban (gender identity);Conversion practices ban (gender identity) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that trans identities are per se a mental disorder and can be changed;0.80
Equality & non-discrimination;Equality body mandate (gender identity);Equality body mandate (gender identity) covers when a national human rights institution / equality body is explicitly mandated to work on gender identity in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering gender identity. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;0.78
Equality & non-discrimination;Equality action plan (gender identity);"Equality action plan (gender identity) covers action plans which expressly include gender identity, and include specific measures for progress. Equivalent grounds (sexual identity, gender reassignment, etc) accepted too. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";0.88
Equality & non-discrimination;Law (gender expression);Law (gender expression) covers anti-discrimination legislation which expressly includes gender expression.;1.83
Equality & non-discrimination;Constitution (sex characteristics);"Constitution (sex characteristics) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sex characteristics in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sex characteristics is effectively prohibited by this article. This must be demonstrated in the Constitution’s preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sex characteristics, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";0.16
Equality & non-discrimination;Employment (sex characteristics);Employment (sex characteristics) covers employment anti-discrimination legislation. Only express mention of sex characteristics should be counted.;1.10
Equality & non-discrimination;Goods & services (sex characteristics);Goods & services (sex characteristics) covers goods and services anti-discrimination legislation. Only express mention of sex characteristics only should be counted.;1.10
Equality & non-discrimination;Education (sex characteristics);Education (sex characteristics) covers legislation prohibiting discrimination in the field of education. Only express mention of sex characteristics only should be counted.;1.10
Equality & non-discrimination;Health (sex characteristics);Health (sex characteristics) covers legislation prohibiting discrimination in the field of health. Only express mention of sex characteristics only should be counted.;1.10
Equality & non-discrimination;Equality body mandate (sex characteristics);Equality body mandate (sex characteristics) covers when a national human rights institution / equality body is explicitly mandated to work on sex characteristics in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sex characteristics.;0.78
Equality & non-discrimination;Equality action plan (sex characteristics);"Equality action plan (sex characteristics) covers action plans which expressly include sex characteristics, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";0.88
Equality & non-discrimination;Blood donations;"Blood donation covers when there is no full legislative or administrative ban on donating blood or on any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity. Any deferral periods need to be reasonable and justified. This also includes when health authorities and practitioners make sure that:
- Decisions on time restrictions are taken on individual basis and based on risks assessments related to sexual behaviours of candidates, not on their sexual orientation or gender identity.
- The sexual history of candidates to blood/tissue donations are treated in a non-judgmental manner.
- All relevant documents are exempt from use of discriminatory formulations towards men who have sex with men and trans people.";0.91
Family;Marriage equality;Marriage equality covers when same-sex couples can marry, with the same level of rights as married different-sex couples.;3.75
Family;Registered partnership (similar rights to marriage);Registered partnership (similar rights to marriage) covers when same-sex couples can enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married;3.00
Family;Registered partnership (limited rights);Registered partnership (limited rights) covers when same-sex couples can enter a registered partnership/civil partnership, but where the level of rights is different to, and is significantly weaker than the rights offered by marriage.;2.00
Family;Cohabitation;Cohabitation covers when same-sex couples are included in legislation or legal measures on cohabitation.;1.00
Family;No constitutional limitation on marriage;No constitutional limitation on marriage covers when a constitutional definition (or similar) of marriage as being only a union between a man and a woman does not exist.;0.75
Family;Joint adoption;Joint adoption covers when same-sex couples can legally apply for joint adoption.;3.00
Family;Second-parent adoption;Second parent adoption covers when same-sex couples can legally apply for second parent adoption.;1.75
Family;Automatic co-parent recognition;Automatic co-parent recognition covers when children born to couples (regardless the partners’ sexual orientation and/or gender identity) are not facing any barriers in order to be recognised legally from birth to their parents.;1.75
Family;Medically assisted insemination (couples);Medically assisted insemination (couples) covers when couples (regardless the partners’ sexual orientation and/or gender identity) are not facing any legal barriers in order to get fertility treatment.;2.00
Family;Medically assisted insemination (singles);Medically assisted insemination (singles) covers when fertility treatment for individuals (regardless their sexual orientation and/or gender identity) is legally possible.;2.00
Family;Recognition of trans parenthood;"Recognition of trans parenthood covers when: 
-Parent’s legal gender identity is recognized in the documentation of kinship (e.g. birth certificate of child respects name, gender marker, gendered denomination “mother”/ “father” (where applicable) according to the parent’s recognised gender identity) 
-Regulations regarding recognition of parenthood is aligned with available gender options where more than 2 gender markers are available, e.g. “mother” and “father” are not the only available options, all parents are recorded as “parent” etc.";2.50
Hate crime & hate speech;Hate crime law (sexual orientation);Hate crime law (sexual orientation) covers when sexual orientation is expressly included in hate crime legislation as an aggravating factor.;2.200
Hate crime & hate speech;Hate speech law (sexual orientation);Hate speech law (sexual orientation) covers when sexual orientation is expressly included in hate speech legislation as an aggravating factor;2.200
Hate crime & hate speech;Policy tackling hatred (sexual orientation);Policy tackling hate crime and hate speech (sexual orientation) covers when sexual orientation is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;1.930
Hate crime & hate speech;Hate crime law (gender identity);Hate crime law (gender identity) covers when gender identity is expressly included in hate crime legislation as an aggravating factor.;2.200
Hate crime & hate speech;Hate speech law (gender identity);Hate speech law (gender identity) covers when sexual orientation is expressly included in hate speech legislation as an aggravating factor.;2.200
Hate crime & hate speech;Policy tackling hatred (gender identity);Policy tackling hate crime and hate speech (gender identity) covers when gender identity is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;1.930
Hate crime & hate speech;Hate crime law (intersex);Hate crime law (intersex) covers when bias based on the victim’s (perceived) sex characteristics or intersex status is expressly included in hate crime legislation as an aggravating factor.;2.200
Hate crime & hate speech;Hate speech law (sex characteristics);Hate speech law (sex characteristics) covers when sex characteristics or intersex status is expressly included in hate speech legislation as an aggravating factor.;2.200
Hate crime & hate speech;Policies tackling hatred (intersex);Policy tackling hate crime and hate speech (sex characteristics) covers when sex characteristics or intersex status is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;1.930
Legal gender recognition;No legal framework making legal gender recognition impossible;No legal framework making legal gender recognition impossible covers when there is no explicit ban or other kind of legal limitation which serves to make legal gender recognition practically impossible. This point can be awarded when legal gender recognition procedures are onerous, difficult, or when there is no set pathway, so long as there is not an explicit mechanism in place blocking legal gender recognition entirely.;0.75
Legal gender recognition;Existence of legal measures;Existence of legal measures covers legislation for legal gender recognition. This can include court decisions, as long as there is a procedure that provides consistent results.;1.50
Legal gender recognition;Existence of administrative procedures;Existence of administrative procedures covers procedures for legal gender recognition which are not written in law. This includes change of gender on official documents to reflect the preferred gender. Administrative procedures are only taken into account when consistent implementation with no obstacle has been documented.;1.00
Legal gender recognition;Name change;Name change covers existence of legislation which makes name change possible without any obstacles. This includes deed poll.;1.00
Legal gender recognition;No age restriction (Name change);No age restriction, Name change covers when there is no explicit age restriction for minor to change their name.;0.15
Legal gender recognition;Self-determination;"Self-determination covers when 
-Legal gender recognition is based exclusively on the expressed wish of the person concerned e.g. by declaration 
-Does not require third party involvement, e.g. judge, medical expert, intercessor 
-Intersex status and/ or sex characteristics are not a contraindication";2.00
Legal gender recognition;Non-binary recognition;"Non-binary gender recognition is awarded if:
- More than two gender marker options (“X”, “NB”, “other”, or other option(s)) are available in the public registry (e.g. Register of Births, etc.), and
- Available only on request, not applied to anyone without their personal consent, and
- There is a procedure which provides consistent results, and
- Available to anyone who seeks it without discrimination.
–OR–
- No mandatory recording of gender marker in the public registry (ability to opt out from recording of gender marker available to all, not only trans/intersex people).";1.00
Legal gender recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;No ‘Gender Identity Disorder’ diagnosis/psychological opinion required covers when a GID diagnosis is not a requirement for legal gender recognition.;1.75
Legal gender recognition;No compulsory medical intervention required;No compulsory medical intervention required covers when medical interventions are not a requirement for legal gender recognition. This only refers to non-surgical medical interventions. This criteria only applies when consistent implementation with no obstacle has been documented.;1.15
Legal gender recognition;No compulsory surgical intervention required;No compulsory surgical intervention required covers when any kind of surgical interventions are not a requirement for legal gender recognition. This criteria only applies when consistent implementation with no obstacle has been documented.;1.15
Legal gender recognition;No compulsory sterilisation required;No compulsory sterilisation required covers when sterilisation or proof of infertility is not a requirement for legal gender recognition.;1.70
Legal gender recognition;No compulsory divorce required;No compulsory divorce required covers when divorce or single status is not a requirement for legal gender recognition.;1.05
Legal gender recognition;No age restriction;No age restriction covers when existing legal measures for legal gender recognition do not include an explicit minimum or maximum age restrictions, individuals of any age use the same process, when the minor does not have full legal capacity, a legal representative can be obliged to make the procedures on their behalf.;1.00
Legal gender recognition;Legal gender recognition procedures exist for minors;Legal gender recognition procedures exist for minors, covers when a legal measure for accessing legal gender recognition is available for minors and provides consistent results.;0.30
Legal gender recognition;Depathologisation;"Depathologisation covers when: 
-No mental health diagnosis relating to trans identities in national clinical classification standards or equivalent, neither for adults/ adolescents nor for pre-puberty children 
-Access to and cost coverage for trans-specific healthcare (TSHC) for adults/ adolescents is possible without requiring a mental health assessment or diagnosis. 
-Access to and cost coverage for support services for pre-puberty trans and gender variant children is ensured without requesting a diagnosis of “Gender Incongruence in Childhood” (ICD11) or equivalent.";2.00
Intersex bodily integrity;Prohibition of medical intervention without informed consent (intersex);Prohibition of medical intervention before child is able to give informed consent (intersex) covers when medical practitioners or other professionals are prohibited by law from conducting any kind of surgical or medical intervention on an intersex minor when the intervention has no medical necessity and can be avoided or postponed until the person can provide informed consent.;2.50
Intersex bodily integrity;Universality of prohibition of medical interventions;Universality of prohibition of medical interventions covers when bodily integrity protections are universal to all persons, not based on specific variations or diagnoses or intersex terms, and medical practitioners or other professionals are prohibited by law from conducting any kind of surgical or medical intervention on anybody without their personal consent except in the case of vital reasons. This point can only be awarded when “Prohibition of medical intervention before child is able to give informed consent” is also awarded.;0.50
Intersex bodily integrity;Existence of effective monitoring mechanism;"Existence of effective monitoring mechanism covers when: 
-A monitoring mechanism for the prohibition of medical intervention on an intersex minor has been established. 
-The monitoring mechanism is an independent entity from the medical establishment.
-There are clear responsibilities for monitoring and reporting of the mechanism. 
-This point can only be awarded when “Prohibition of medical intervention before child is able to give informed consent” is also awarded.";1.00
Intersex bodily integrity;Access to justice for victims and reparations;Access to justice for victims and reparations covers when prohibition of medical interventions on intersex minor provides adequate acknowledgement of the suffering and injustice caused to intersex people in the past and provides adequate redress, reparation, access to justice and the right to truth with clear and effective mechanisms.;1.00
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);Public event held, no state obstruction of freedom of assembly (last 3 years) covers when laws, policies and practices allow for full exercise of the right to free assembly, so LGBTI public events are held without obstruction.;1.50
Civil society space;Public event held, there is enough protection (last 3 years);Public event held, there is enough protection (last 3 years) covers when LGBTI public events are sufficiently protected by public authorities (e.g. police) who ensure their due course, including protection from disruption or attacks.;1.50
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);Associations operate, no state obstruction of freedom association (last 3 years) covers when there are no legal and administrative restrictions on the functioning of LGBTI organisations or publications, including state registration, cooperation with authorities, access to national funding, etc.;1.50
Civil society space;LGBTI human rights defenders are not at risk;LGBTI human rights defenders are not at risk covers when LGBTI human rights defenders are not intimidated and criminalised for their work (e.g. no LGBTI HRDs arrested, in jail or harassed by public authorities in relation to their human rights work and activism).;1.50
Civil society space;No laws limiting external funding;No laws limiting receipt of funding covers when there are no explicit government regulations banning organisations from receiving funding (national, foreign and/or private) (e.g. ‘foreign agent’ laws).;1.50
Civil society space;No laws limiting freedom of expression (national/local);No laws limiting expression (national/local) covers when there is no legislation limiting freedom of expression on LGBTI issues (e.g. anti-propaganda laws, censorship laws etc.) either at national or local level.;1.50
Asylum;Asylum law (sexual orientation);Asylum law (sexual orientation) covers when sexual orientation is expressly included in asylum law as a qualification criteria.;1.50
Asylum;Other positive measures (sexual orientation);Legislation/policy/other positive measures (sexual orientation) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of gay, lesbian and bisexual refugees and/or asylum seekers. This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for LGBTI people, and other measures can be taken into account.;1.50
Asylum;Asylum law (gender identity);Law (gender identity) covers when gender identity is expressly included in asylum law as a qualification criteria.;1.50
Asylum;Other positive measures (gender identity);"Legislation/policy/other positive measures (gender identity) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of trans and non-binary refugees and/or asylum seekers. 
This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, access to legal gender recognition for trans and non-binary refugees, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for trans and non-binary people, and other measures can be taken into account.";1.50
Asylum;Asylum law (intersex);Law (intersex) covers when intersex status or sex characteristics is expressly included in law as a qualification criterion.;1.50
Asylum;Other positive measures (intersex);"Legislation/policy/other positive measures (sex characteristics) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of intersex refugees and/or asylum seekers. 
This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, access to legal gender recognition for intersex refugees, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for LGBTI people, and other measures can be taken into account.";1.50
