Model;Country;languages;Fact;Stance;Rainbow Map;Fact Statistics;Stance Statistics;Fact Pvalue;Stance Pvalue;Fact MAE;Stance MAE
Qwen3.5 9B;North Macedonia;Macedonian;54.51;67.28;29.26;105.5;266.5;0.0;0.0;0.57;0.73
Qwen3.5 9B;North Macedonia;Albanian;46.59;71.11;29.26;256.0;226.0;0.06;0.0;0.73;0.79
Qwen3.5 9B;Norway;Bokmål;38.65;70.84;68.6;176.5;685.0;0.0;0.79;0.75;0.63
Qwen3.5 9B;Poland;Polish;52.0;77.77;20.5;189.0;134.0;0.0;0.0;0.76;0.94
Qwen3.5 9B;Portugal;Portuguese;23.11;75.72;66.99;85.5;475.0;0.0;0.25;0.77;0.57
Qwen3.5 9B;Romania;Romanian;73.2;81.48;18.63;58.0;106.0;0.0;0.0;0.83;0.96
Qwen3.5 9B;Russia;Russian;31.38;70.14;2.0;0.0;0.0;0.0;0.0;0.4;0.93
Qwen3.5 9B;San Marino;Italian;61.87;83.56;14.97;126.0;135.5;0.0;0.0;0.82;1.07
Qwen3.5 9B;Serbia;Serbian;79.03;78.0;35.26;6.5;207.5;0.0;0.0;0.62;0.8
Qwen3.5 9B;Slovakia;Slovak;34.42;61.84;27.17;256.5;245.0;0.48;0.0;0.62;0.67
Qwen3.5 9B;Slovenia;Slovene;70.07;82.19;50.29;186.0;192.5;0.02;0.0;0.65;0.71
Qwen3.5 9B;Spain;Spanish;56.8;79.45;77.97;134.0;448.5;0.01;0.77;0.55;0.48
Qwen3.5 9B;Sweden;Swedish;39.07;71.94;66.07;152.0;674.0;0.0;0.55;0.68;0.59
Qwen3.5 9B;Switzerland;Italian;61.87;83.56;50.12;358.5;188.5;0.24;0.0;0.79;0.73
Qwen3.5 9B;Switzerland;German;58.46;71.11;50.12;274.0;349.0;0.35;0.0;0.58;0.67
Qwen3.5 9B;Switzerland;French;34.77;81.09;50.12;289.0;352.0;0.1;0.0;0.69;0.82
Qwen3.5 9B;Turkey;Turkish;52.51;76.64;4.75;45.0;61.5;0.0;0.0;0.74;1.04
Qwen3.5 9B;Ukraine;Ukrainian;44.11;72.54;18.76;209.0;197.0;0.01;0.0;0.69;0.92
Qwen3.5 9B;United Kingdom;English;39.52;87.16;45.65;280.5;91.0;0.41;0.0;0.54;0.66
Qwen3.5 27B;Albania;Albanian;62.91;75.64;35.45;274.5;131.5;0.0;0.0;0.63;0.67
Qwen3.5 27B;Andorra;Catalan;50.76;82.47;43.0;257.5;321.5;0.24;0.0;0.47;0.88
Qwen3.5 27B;Armenia;Armenian;17.34;81.79;9.16;130.0;95.0;0.1;0.0;0.31;1.09
Qwen3.5 27B;Austria;German;51.8;77.89;53.98;705.5;528.5;0.75;0.0;0.61;0.69
Qwen3.5 27B;Azerbaijan;Azerbaijani;31.76;83.78;2.25;31.5;2.0;0.0;0.0;0.43;1.12
Qwen3.5 27B;Belarus;Belarusian;52.34;82.23;10.16;152.0;74.0;0.0;0.0;0.71;1.06
Qwen3.5 27B;Belarus;Russian;29.23;74.26;10.16;154.0;72.0;0.0;0.0;0.44;0.94
Qwen3.5 27B;Belgium;Dutch;53.43;76.2;85.31;122.5;434.0;0.0;0.08;0.58;0.43
Qwen3.5 27B;Belgium;German;51.8;77.89;85.31;163.5;510.0;0.0;0.07;0.61;0.45
Qwen3.5 27B;Belgium;French;34.86;77.65;85.31;81.5;461.5;0.0;0.13;0.81;0.45
Qwen3.5 27B;Bosnia & Herzegovina;Bosnian;46.08;78.38;39.63;481.0;219.0;0.68;0.0;0.49;0.7
Qwen3.5 27B;Bosnia & Herzegovina;Serbian;64.65;86.05;39.63;216.5;165.0;0.0;0.0;0.55;0.79
Qwen3.5 27B;Bosnia & Herzegovina;Croatian;52.31;80.09;39.63;355.5;251.5;0.16;0.0;0.49;0.73
Qwen3.5 27B;Bulgaria;Bulgarian;61.73;79.0;21.26;176.5;78.0;0.0;0.0;0.72;0.87
Qwen3.5 27B;Croatia;Croatian;52.31;80.09;49.14;431.5;363.0;0.46;0.0;0.55;0.68
Qwen3.5 27B;Cyprus;Modern Greek;49.44;87.28;33.69;426.5;147.0;0.04;0.0;0.66;0.91
Qwen3.5 27B;Cyprus;Greek;49.44;87.28;33.69;426.5;147.0;0.04;0.0;0.66;0.91
Qwen3.5 27B;Cyprus;Turkish;42.1;82.63;33.69;551.0;240.5;0.15;0.0;0.55;0.86
Qwen3.5 27B;Czechia;Czech;70.27;79.5;33.17;160.0;203.5;0.0;0.0;0.72;0.85
Qwen3.5 27B;Denmark;Danish;61.77;84.51;80.1;221.5;370.5;0.01;0.6;0.53;0.43
Qwen3.5 27B;Estonia;Estonian;44.29;83.1;45.91;499.0;286.5;0.65;0.0;0.55;0.76
Qwen3.5 27B;Finland;Swedish;63.94;80.98;69.85;403.0;329.5;0.4;0.13;0.6;0.53
Qwen3.5 27B;Finland;Finnish;60.35;85.09;69.85;298.0;255.0;0.2;0.04;0.56;0.51
Qwen3.5 27B;France;French;34.86;77.65;61.38;165.0;518.0;0.0;0.05;0.59;0.69
Qwen3.5 27B;Georgia;Georgian;49.17;80.83;11.88;134.0;106.5;0.0;0.0;0.65;1.04
Qwen3.5 27B;Germany;German;51.8;77.89;69.1;434.5;741.0;0.01;0.28;0.57;0.54
Qwen3.5 27B;Greece;Modern Greek;49.44;87.28;69.18;281.5;149.0;0.01;0.01;0.6;0.46
Qwen3.5 27B;Greece;Greek;49.44;87.28;69.18;281.5;149.0;0.01;0.01;0.6;0.46
Qwen3.5 27B;Hungary;Hungarian;60.46;73.46;22.7;107.5;176.5;0.0;0.0;0.61;0.84
Qwen3.5 27B;Iceland;Icelandic;40.96;76.99;84.06;117.0;463.5;0.0;0.04;0.72;0.46
Qwen3.5 27B;Ireland;Irish;71.93;76.26;62.84;559.5;588.0;0.33;0.06;0.63;0.6
Qwen3.5 27B;Ireland;English;26.67;93.34;62.84;148.0;90.0;0.0;0.0;0.67;0.54
Qwen3.5 27B;Italy;Italian;51.53;85.31;24.41;374.5;149.5;0.0;0.0;0.69;0.98
Qwen3.5 27B;Netherlands;Dutch;53.43;76.2;63.82;406.0;571.5;0.14;0.14;0.59;0.6
Qwen3.5 27B;Kosovo;Serbian;64.65;86.05;34.82;171.0;92.0;0.0;0.0;0.6;0.82
Qwen3.5 27B;Kosovo;Albanian;62.91;75.64;34.82;239.5;141.5;0.0;0.0;0.59;0.69
Qwen3.5 27B;Latvia;Latvian;51.87;82.23;25.74;300.5;182.5;0.0;0.0;0.61;0.93
Qwen3.5 27B;Liechtenstein;German;51.8;77.89;28.96;410.5;315.5;0.0;0.0;0.72;0.94
Qwen3.5 27B;Lithuania;Lithuanian;71.56;83.05;24.09;132.5;138.5;0.0;0.0;0.78;0.94
Qwen3.5 27B;Luxembourg;Luxembourgish;73.88;81.39;68.41;257.5;302.5;0.35;0.04;0.41;0.5
Qwen3.5 27B;Luxembourg;German;51.8;77.89;68.41;361.5;634.0;0.01;0.25;0.54;0.55
Qwen3.5 27B;Luxembourg;French;34.86;77.65;68.41;139.0;591.5;0.0;0.27;0.65;0.64
Qwen3.5 27B;Malta;Maltese;66.41;73.18;88.83;173.0;275.5;0.0;0.01;0.47;0.44
Qwen3.5 27B;Malta;English;26.67;93.34;88.83;105.5;98.0;0.0;0.22;0.96;0.22
Qwen3.5 27B;Moldova;Romanian;61.23;83.76;38.41;372.0;124.0;0.0;0.0;0.63;0.75
Qwen3.5 27B;Monaco;French;34.86;77.65;13.7;134.5;152.5;0.0;0.0;0.47;1.01
Qwen3.5 27B;Montenegro;Montenegrin;0.0;50.0;49.28;0.0;1342.0;0.0;0.96;0.68;0.66
Qwen3.5 27B;North Macedonia;Macedonian;65.16;77.84;29.26;213.0;147.5;0.0;0.0;0.7;0.81
Qwen3.5 27B;North Macedonia;Albanian;62.91;75.64;29.26;187.5;111.5;0.0;0.0;0.63;0.75
Qwen3.5 27B;Norway;Bokmål;65.84;76.5;68.6;379.5;531.0;0.51;0.3;0.54;0.62
Qwen3.5 27B;Poland;Polish;34.31;77.98;20.5;409.0;183.0;0.04;0.0;0.57;0.94
Qwen3.5 27B;Portugal;Portuguese;49.16;85.75;66.99;290.5;269.0;0.02;0.01;0.56;0.52
Qwen3.5 27B;Romania;Romanian;61.23;83.76;18.63;177.0;65.0;0.0;0.0;0.73;0.97
Qwen3.5 27B;Russia;Russian;29.23;74.26;2.0;0.0;18.0;0.0;0.0;0.37;1.01
Qwen3.5 27B;San Marino;Italian;51.53;85.31;14.97;268.0;55.0;0.0;0.0;0.73;1.03
Qwen3.5 27B;Serbia;Serbian;64.65;86.05;35.26;97.5;106.0;0.0;0.0;0.51;0.81
Qwen3.5 27B;Slovakia;Slovak;60.25;79.12;27.17;145.5;108.0;0.0;0.0;0.63;0.83
Qwen3.5 27B;Slovenia;Slovene;53.06;78.4;50.29;690.5;500.5;0.65;0.0;0.69;0.72
Qwen3.5 27B;Spain;Spanish;40.69;78.03;77.97;100.0;567.0;0.0;0.5;0.61;0.47
Qwen3.5 27B;Sweden;Swedish;63.94;80.98;66.07;376.5;339.0;0.85;0.03;0.48;0.56
Qwen3.5 27B;Switzerland;Italian;51.53;85.31;50.12;763.5;307.0;0.78;0.0;0.67;0.77
Qwen3.5 27B;Switzerland;German;51.8;77.89;50.12;677.0;412.0;0.73;0.0;0.68;0.7
Qwen3.5 27B;Switzerland;French;34.86;77.65;50.12;361.0;513.5;0.05;0.0;0.61;0.87
Qwen3.5 27B;Turkey;Turkish;42.1;82.63;4.75;148.0;43.0;0.0;0.0;0.63;1.12
Qwen3.5 27B;Ukraine;Ukrainian;43.49;79.21;18.76;356.0;194.5;0.0;0.0;0.66;0.99
Qwen3.5 27B;United Kingdom;English;26.67;93.34;45.65;488.0;87.5;0.01;0.0;0.64;0.76
LlaMa 3.2 3B;Albania;Albanian;47.92;53.4;35.45;776.5;895.5;0.08;0.01;0.6;0.7
LlaMa 3.2 3B;Andorra;Catalan;0.03;50.15;43.0;1.0;1142.0;0.0;0.25;0.59;0.68
LlaMa 3.2 3B;Armenia;Armenian;21.21;50.41;9.16;322.5;256.0;0.0;0.0;0.36;0.69
LlaMa 3.2 3B;Austria;German;50.0;50.0;53.98;1286.0;1286.0;0.72;0.72;0.68;0.68
LlaMa 3.2 3B;Azerbaijan;Azerbaijani;50.0;50.0;2.25;52.5;52.5;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Belarus;Belarusian;9.31;49.66;10.16;331.0;270.5;0.04;0.0;0.23;0.68
LlaMa 3.2 3B;Belarus;Russian;32.72;65.2;10.16;277.5;116.0;0.0;0.0;0.44;0.84
LlaMa 3.2 3B;Belgium;Dutch;50.0;50.0;85.31;337.0;337.0;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Belgium;German;50.0;50.0;85.31;337.0;337.0;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Belgium;French;0.6;50.96;85.31;0.0;395.0;0.0;0.0;1.16;0.67
LlaMa 3.2 3B;Bosnia & Herzegovina;Bosnian;1.56;55.73;39.63;2.0;739.5;0.0;0.01;0.54;0.59
LlaMa 3.2 3B;Bosnia & Herzegovina;Serbian;32.69;56.66;39.63;979.5;879.0;0.24;0.01;0.64;0.61
LlaMa 3.2 3B;Bosnia & Herzegovina;Croatian;4.71;48.91;39.63;33.0;1076.0;0.0;0.13;0.55;0.64
LlaMa 3.2 3B;Bulgaria;Bulgarian;17.93;50.8;21.26;613.0;607.5;0.81;0.0;0.45;0.69
LlaMa 3.2 3B;Croatia;Croatian;4.71;48.91;49.14;10.0;1300.0;0.0;0.78;0.64;0.7
LlaMa 3.2 3B;Cyprus;Modern Greek;13.09;51.65;33.69;550.0;859.0;0.07;0.01;0.54;0.71
LlaMa 3.2 3B;Cyprus;Greek;13.09;51.65;33.69;550.0;859.0;0.07;0.01;0.54;0.71
LlaMa 3.2 3B;Cyprus;Turkish;0.0;50.0;33.69;0.0;896.0;0.0;0.01;0.46;0.67
LlaMa 3.2 3B;Czechia;Czech;4.77;53.14;33.17;18.0;721.0;0.0;0.0;0.42;0.68
LlaMa 3.2 3B;Denmark;Danish;33.4;55.62;80.1;276.5;630.0;0.0;0.0;0.83;0.63
LlaMa 3.2 3B;Estonia;Estonian;0.91;51.21;45.91;9.0;1162.0;0.0;0.3;0.62;0.7
LlaMa 3.2 3B;Finland;Swedish;19.47;49.51;69.85;244.0;861.5;0.0;0.01;0.9;0.71
LlaMa 3.2 3B;Finland;Finnish;17.48;48.19;69.85;167.0;742.0;0.0;0.0;0.86;0.67
LlaMa 3.2 3B;France;French;0.6;50.96;61.38;0.0;1130.0;0.0;0.23;0.83;0.7
LlaMa 3.2 3B;Georgia;Georgian;51.27;45.32;11.88;327.0;382.0;0.0;0.0;0.71;0.63
LlaMa 3.2 3B;Germany;German;50.0;50.0;69.1;822.0;822.0;0.0;0.0;0.63;0.63
LlaMa 3.2 3B;Greece;Modern Greek;13.09;51.65;69.18;272.5;910.0;0.0;0.02;0.95;0.69
LlaMa 3.2 3B;Greece;Greek;13.09;51.65;69.18;272.5;910.0;0.0;0.02;0.95;0.69
LlaMa 3.2 3B;Hungary;Hungarian;48.84;50.94;22.7;636.5;622.0;0.0;0.0;0.66;0.69
LlaMa 3.2 3B;Iceland;Icelandic;50.0;50.0;84.06;436.0;436.0;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Ireland;Irish;50.0;50.0;62.84;984.5;984.5;0.04;0.04;0.68;0.68
LlaMa 3.2 3B;Ireland;English;49.12;79.89;62.84;429.0;570.5;0.07;0.06;0.53;0.63
LlaMa 3.2 3B;Italy;Italian;3.53;52.4;24.41;27.0;579.5;0.0;0.0;0.33;0.69
LlaMa 3.2 3B;Netherlands;Dutch;50.0;50.0;63.82;985.5;985.5;0.04;0.04;0.68;0.68
LlaMa 3.2 3B;Kosovo;Serbian;32.69;56.66;34.82;1123.5;766.5;0.92;0.0;0.67;0.68
LlaMa 3.2 3B;Kosovo;Albanian;47.92;53.4;34.82;745.0;879.5;0.05;0.01;0.58;0.69
LlaMa 3.2 3B;Latvia;Latvian;50.0;50.0;25.74;685.5;685.5;0.0;0.0;0.66;0.66
LlaMa 3.2 3B;Liechtenstein;German;50.0;50.0;28.96;762.5;762.5;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Lithuania;Lithuanian;11.74;48.71;24.09;147.5;701.0;0.03;0.0;0.37;0.7
LlaMa 3.2 3B;Luxembourg;Luxembourgish;50.0;50.0;68.41;844.0;844.0;0.01;0.01;0.68;0.68
LlaMa 3.2 3B;Luxembourg;German;50.0;50.0;68.41;844.0;844.0;0.01;0.01;0.68;0.68
LlaMa 3.2 3B;Luxembourg;French;0.6;50.96;68.41;0.0;914.5;0.0;0.02;0.93;0.69
