Model;Country;languages;Fact;Stance;Rainbow Map;Fact Statistics;Stance Statistics;Fact Pvalue;Stance Pvalue;Fact MAE;Stance MAE
Qwen3.5 9B;Finland;Swedish;50.58;67.06;69.85;240.0;781.0;0.06;0.43;0.75;0.67
Qwen3.5 9B;Finland;Finnish;55.55;74.73;69.85;176.0;635.5;0.1;0.8;0.57;0.57
Qwen3.5 9B;France;French;47.85;73.55;61.38;176.5;510.0;0.16;0.15;0.58;0.67
Qwen3.5 9B;Georgia;Georgian;7.17;56.01;11.88;51.5;175.5;0.39;0.0;0.26;0.72
Qwen3.5 9B;Germany;German;62.37;73.5;69.1;261.5;524.5;0.38;0.38;0.47;0.52
Qwen3.5 9B;Greece;Modern Greek;53.67;86.14;69.18;132.0;136.0;0.06;0.01;0.54;0.44
Qwen3.5 9B;Greece;Greek;53.67;86.14;69.18;132.0;136.0;0.06;0.01;0.54;0.44
Qwen3.5 9B;Hungary;Hungarian;69.28;70.08;22.7;30.5;267.5;0.0;0.0;0.68;0.87
Qwen3.5 9B;Iceland;Icelandic;77.21;73.42;84.06;104.0;314.5;0.3;0.06;0.38;0.48
Qwen3.5 9B;Ireland;Irish;50.65;65.88;62.84;302.0;727.5;0.15;0.9;0.73;0.6
Qwen3.5 9B;Ireland;English;61.64;85.38;62.84;153.0;245.0;0.8;0.0;0.44;0.56
Qwen3.5 9B;Italy;Italian;57.0;83.31;24.41;159.0;46.5;0.0;0.0;0.71;0.88
Qwen3.5 9B;Netherlands;Dutch;41.54;61.84;63.82;189.0;883.5;0.01;0.82;0.65;0.66
Qwen3.5 9B;Kosovo;Serbian;70.75;78.14;34.82;108.0;191.5;0.0;0.0;0.7;0.77
Qwen3.5 9B;Kosovo;Albanian;16.11;66.14;34.82;82.0;358.0;0.01;0.0;0.46;0.7
Qwen3.5 9B;Latvia;Latvian;21.59;68.81;25.74;275.0;310.0;0.36;0.0;0.59;0.82
Qwen3.5 9B;Liechtenstein;German;52.7;71.59;28.96;149.0;281.0;0.01;0.0;0.61;0.82
Qwen3.5 9B;Lithuania;Lithuanian;83.87;77.43;24.09;98.0;154.5;0.0;0.0;0.96;0.86
Qwen3.5 9B;Luxembourg;Luxembourgish;65.21;71.03;68.41;228.5;657.5;0.7;0.77;0.46;0.55
Qwen3.5 9B;Luxembourg;German;58.74;74.37;68.41;184.0;418.0;0.21;0.37;0.54;0.54
Qwen3.5 9B;Luxembourg;French;49.46;73.09;68.41;195.5;520.5;0.02;0.36;0.59;0.58
Qwen3.5 9B;Malta;Maltese;52.98;62.88;88.83;68.0;253.0;0.0;0.0;0.63;0.58
Qwen3.5 9B;Malta;English;48.27;82.88;88.83;87.5;184.5;0.0;0.32;0.73;0.32
Qwen3.5 9B;Moldova;Romanian;42.66;76.97;38.41;354.5;120.5;0.82;0.0;0.63;0.69
Qwen3.5 9B;Monaco;French;28.29;77.56;13.7;135.0;123.0;0.07;0.0;0.51;1.0
Qwen3.5 9B;Montenegro;Montenegrin;0.0;50.0;49.28;0.0;1342.0;0.0;0.96;0.68;0.66
Qwen3.5 9B;North Macedonia;Macedonian;39.15;63.49;29.26;272.5;248.0;0.23;0.0;0.6;0.69
Qwen3.5 9B;North Macedonia;Albanian;25.41;71.45;29.26;212.5;215.5;0.49;0.0;0.6;0.77
Qwen3.5 9B;Norway;Bokmål;58.43;73.73;68.6;291.0;511.0;0.25;0.43;0.65;0.6
Qwen3.5 9B;Poland;Polish;22.33;75.15;20.5;212.5;128.0;0.91;0.0;0.47;0.89
Qwen3.5 9B;Portugal;Portuguese;48.31;69.67;66.99;154.0;732.0;0.02;0.75;0.62;0.62
Qwen3.5 9B;Romania;Romanian;59.78;83.77;18.63;115.0;29.0;0.0;0.0;0.73;0.93
Qwen3.5 9B;Russia;Russian;19.46;58.21;2.0;15.5;0.0;0.0;0.0;0.29;0.77
Qwen3.5 9B;San Marino;Italian;63.15;79.56;14.97;107.5;132.5;0.0;0.0;0.82;1.0
Qwen3.5 9B;Serbia;Serbian;58.48;71.56;35.26;68.5;277.0;0.0;0.0;0.46;0.73
Qwen3.5 9B;Slovakia;Slovak;17.49;50.04;27.17;102.0;700.0;0.17;0.0;0.41;0.69
Qwen3.5 9B;Slovenia;Slovene;75.49;83.94;50.29;141.0;145.0;0.01;0.0;0.67;0.66
Qwen3.5 9B;Spain;Spanish;61.16;74.01;77.97;169.5;450.5;0.03;0.32;0.54;0.5
Qwen3.5 9B;Sweden;Swedish;43.02;68.28;66.07;152.5;710.0;0.01;0.78;0.64;0.56
Qwen3.5 9B;Switzerland;Italian;76.71;83.92;50.12;118.5;165.0;0.0;0.0;0.62;0.7
Qwen3.5 9B;Switzerland;German;53.63;68.79;50.12;320.5;324.0;0.64;0.0;0.62;0.6
Qwen3.5 9B;Switzerland;French;39.83;69.32;50.12;229.0;534.0;0.24;0.01;0.57;0.81
Qwen3.5 9B;Turkey;Turkish;21.07;69.55;4.75;33.0;51.5;0.01;0.0;0.33;0.94
Qwen3.5 9B;Ukraine;Ukrainian;38.85;73.95;18.76;212.5;136.5;0.02;0.0;0.62;0.89
Qwen3.5 9B;United Kingdom;English;53.56;85.41;45.65;101.0;185.5;0.16;0.0;0.35;0.72
Qwen3.5 27B;Albania;Albanian;43.12;70.43;35.45;503.0;218.0;0.38;0.0;0.54;0.63
Qwen3.5 27B;Andorra;Catalan;42.48;76.4;43.0;539.0;472.0;0.99;0.0;0.58;0.87
Qwen3.5 27B;Armenia;Armenian;3.12;70.25;9.16;25.0;146.5;0.15;0.0;0.17;0.96
Qwen3.5 27B;Austria;German;51.16;77.03;53.98;715.0;699.0;0.64;0.01;0.66;0.7
Qwen3.5 27B;Azerbaijan;Azerbaijani;11.45;72.57;2.25;17.0;11.0;0.0;0.0;0.17;0.97
Qwen3.5 27B;Belarus;Belarusian;23.29;56.93;10.16;80.0;232.5;0.0;0.0;0.27;0.78
Qwen3.5 27B;Belarus;Russian;15.87;55.48;10.16;108.5;177.0;0.24;0.0;0.29;0.72
Qwen3.5 27B;Belgium;Dutch;60.11;69.69;85.31;145.0;439.5;0.0;0.0;0.53;0.46
Qwen3.5 27B;Belgium;German;57.59;74.59;85.31;141.0;577.5;0.0;0.01;0.52;0.45
Qwen3.5 27B;Belgium;French;48.93;77.31;85.31;114.5;569.0;0.0;0.02;0.63;0.45
Qwen3.5 27B;Bosnia & Herzegovina;Bosnian;32.78;78.34;39.63;407.0;343.0;0.21;0.0;0.5;0.75
Qwen3.5 27B;Bosnia & Herzegovina;Serbian;44.26;78.05;39.63;403.0;157.0;0.54;0.0;0.47;0.66
Qwen3.5 27B;Bosnia & Herzegovina;Croatian;32.56;75.15;39.63;329.0;321.0;0.28;0.0;0.48;0.7
Qwen3.5 27B;Bulgaria;Bulgarian;54.23;69.87;21.26;206.5;141.5;0.0;0.0;0.65;0.77
Qwen3.5 27B;Croatia;Croatian;39.67;73.03;49.14;404.5;610.0;0.29;0.0;0.52;0.73
Qwen3.5 27B;Cyprus;Modern Greek;34.42;86.44;33.69;622.0;106.0;0.88;0.0;0.68;0.83
Qwen3.5 27B;Cyprus;Greek;34.42;86.44;33.69;622.0;106.0;0.88;0.0;0.68;0.83
Qwen3.5 27B;Cyprus;Turkish;15.56;83.82;33.69;214.5;229.5;0.01;0.0;0.5;0.89
Qwen3.5 27B;Czechia;Czech;45.63;78.23;33.17;449.0;209.0;0.1;0.0;0.62;0.83
Qwen3.5 27B;Denmark;Danish;63.12;77.79;80.1;193.0;600.5;0.02;0.42;0.53;0.47
Qwen3.5 27B;Estonia;Estonian;35.73;69.69;45.91;612.0;583.0;0.36;0.0;0.77;0.77
Qwen3.5 27B;Finland;Swedish;56.93;70.23;69.85;284.0;987.0;0.09;0.72;0.6;0.65
Qwen3.5 27B;Finland;Finnish;57.76;80.57;69.85;342.5;464.5;0.11;0.2;0.59;0.51
Qwen3.5 27B;France;French;38.01;71.94;61.38;224.5;955.5;0.0;0.34;0.57;0.7
Qwen3.5 27B;Georgia;Georgian;22.94;73.38;11.88;153.5;106.0;0.04;0.0;0.37;0.93
Qwen3.5 27B;Germany;German;49.09;71.72;69.1;289.0;952.5;0.0;0.87;0.52;0.53
Qwen3.5 27B;Greece;Modern Greek;40.53;85.84;69.18;236.0;321.5;0.0;0.03;0.67;0.49
Qwen3.5 27B;Greece;Greek;40.53;85.84;69.18;236.0;321.5;0.0;0.03;0.67;0.49
Qwen3.5 27B;Hungary;Hungarian;44.18;66.3;22.7;169.5;171.5;0.0;0.0;0.47;0.7
Qwen3.5 27B;Iceland;Icelandic;49.04;80.43;84.06;152.0;456.5;0.0;0.12;0.66;0.41
Qwen3.5 27B;Ireland;Irish;70.95;75.57;62.84;480.5;578.0;0.38;0.07;0.63;0.62
Qwen3.5 27B;Ireland;English;58.52;91.96;62.84;226.5;190.0;0.48;0.0;0.4;0.55
Qwen3.5 27B;Italy;Italian;33.42;83.83;24.41;342.0;171.0;0.11;0.0;0.43;0.94
Qwen3.5 27B;Netherlands;Dutch;55.43;64.27;63.82;382.5;1089.5;0.27;0.76;0.59;0.64
Qwen3.5 27B;Kosovo;Serbian;69.57;86.23;34.82;101.5;72.0;0.0;0.0;0.61;0.79
Qwen3.5 27B;Kosovo;Albanian;54.39;73.39;34.82;332.0;156.0;0.01;0.0;0.56;0.66
Qwen3.5 27B;Latvia;Latvian;34.09;76.43;25.74;434.5;222.5;0.17;0.0;0.54;0.87
Qwen3.5 27B;Liechtenstein;German;29.27;77.88;28.96;499.5;347.0;0.84;0.0;0.61;0.93
Qwen3.5 27B;Lithuania;Lithuanian;52.53;74.44;24.09;169.0;179.0;0.0;0.0;0.57;0.82
Qwen3.5 27B;Luxembourg;Luxembourgish;73.63;84.49;68.41;277.5;284.5;0.38;0.01;0.36;0.43
Qwen3.5 27B;Luxembourg;German;54.74;76.96;68.41;273.0;769.0;0.01;0.38;0.47;0.53
Qwen3.5 27B;Luxembourg;French;43.28;75.79;68.41;177.5;820.5;0.0;0.49;0.53;0.6
Qwen3.5 27B;Malta;Maltese;76.79;68.24;88.83;172.5;286.0;0.02;0.0;0.35;0.49
Qwen3.5 27B;Malta;English;52.78;94.35;88.83;164.5;94.5;0.0;0.19;0.64;0.21
Qwen3.5 27B;Moldova;Romanian;29.66;82.94;38.41;511.0;106.5;0.22;0.0;0.59;0.72
Qwen3.5 27B;Monaco;French;5.73;70.94;13.7;33.0;125.5;0.07;0.0;0.2;0.91
Qwen3.5 27B;Montenegro;Montenegrin;0.0;50.0;49.28;0.0;1342.0;0.0;0.96;0.68;0.66
Qwen3.5 27B;North Macedonia;Macedonian;42.71;72.15;29.26;225.5;136.5;0.02;0.0;0.42;0.71
Qwen3.5 27B;North Macedonia;Albanian;46.1;74.72;29.26;350.5;109.0;0.01;0.0;0.52;0.72
Qwen3.5 27B;Norway;Bokmål;67.74;76.31;68.6;516.5;815.0;0.62;0.75;0.55;0.62
Qwen3.5 27B;Poland;Polish;13.16;69.22;20.5;195.5;210.5;0.2;0.0;0.35;0.83
Qwen3.5 27B;Portugal;Portuguese;71.34;83.57;66.99;296.0;418.5;0.4;0.02;0.38;0.48
Qwen3.5 27B;Romania;Romanian;39.05;85.69;18.63;280.0;69.0;0.0;0.0;0.52;1.0
Qwen3.5 27B;Russia;Russian;19.39;52.22;2.0;19.0;50.5;0.0;0.0;0.29;0.72
Qwen3.5 27B;San Marino;Italian;26.22;79.82;14.97;265.5;60.0;0.05;0.0;0.46;0.96
Qwen3.5 27B;Serbia;Serbian;59.66;78.53;35.26;190.0;109.0;0.0;0.0;0.52;0.68
Qwen3.5 27B;Slovakia;Slovak;39.74;70.75;27.17;251.0;211.5;0.05;0.0;0.43;0.77
Qwen3.5 27B;Slovenia;Slovene;48.03;79.64;50.29;561.0;364.0;0.97;0.0;0.64;0.69
Qwen3.5 27B;Spain;Spanish;54.39;75.52;77.97;148.0;733.0;0.0;0.25;0.52;0.49
Qwen3.5 27B;Sweden;Swedish;71.95;79.02;66.07;287.0;484.5;0.33;0.04;0.51;0.56
Qwen3.5 27B;Switzerland;Italian;45.86;81.77;50.12;467.5;309.0;0.43;0.0;0.51;0.68
Qwen3.5 27B;Switzerland;German;44.69;74.48;50.12;420.0;591.5;0.38;0.0;0.57;0.67
Qwen3.5 27B;Switzerland;French;30.27;72.81;50.12;298.5;683.0;0.0;0.01;0.6;0.8
Qwen3.5 27B;Ukraine;Ukrainian;25.96;72.05;18.76;339.0;171.0;0.24;0.0;0.47;0.86
Qwen3.5 27B;United Kingdom;English;56.03;90.82;45.65;310.0;100.5;0.08;0.0;0.52;0.71
LlaMa 3.2 3B;Albania;Albanian;47.68;56.33;35.45;929.5;823.5;0.14;0.0;0.76;0.75
LlaMa 3.2 3B;Andorra;Catalan;5.92;49.86;43.0;36.0;1150.5;0.0;0.27;0.56;0.69
LlaMa 3.2 3B;Armenia;Armenian;22.08;51.59;9.16;345.5;280.5;0.0;0.0;0.36;0.72
LlaMa 3.2 3B;Austria;German;50.0;50.0;53.98;1286.0;1286.0;0.72;0.72;0.68;0.68
LlaMa 3.2 3B;Azerbaijan;Azerbaijani;50.0;50.0;2.25;52.5;52.5;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Belarus;Belarusian;9.03;48.06;10.16;306.0;289.0;0.07;0.0;0.24;0.66
LlaMa 3.2 3B;Belarus;Russian;28.16;65.18;10.16;307.0;168.0;0.0;0.0;0.41;0.87
LlaMa 3.2 3B;Belgium;Dutch;50.0;50.0;85.31;337.0;337.0;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Belgium;German;50.0;50.0;85.31;337.0;337.0;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Belgium;French;0.35;52.22;85.31;3.0;449.5;0.0;0.0;1.17;0.7
LlaMa 3.2 3B;Bosnia & Herzegovina;Bosnian;6.8;54.32;39.63;91.5;947.5;0.0;0.03;0.55;0.63
LlaMa 3.2 3B;Bosnia & Herzegovina;Serbian;47.22;55.46;39.63;1142.5;910.0;0.34;0.02;0.7;0.62
LlaMa 3.2 3B;Bosnia & Herzegovina;Croatian;2.83;50.62;39.63;13.0;1025.5;0.0;0.07;0.53;0.61
LlaMa 3.2 3B;Bulgaria;Bulgarian;14.64;54.74;21.26;626.0;440.5;0.91;0.0;0.42;0.68
LlaMa 3.2 3B;Croatia;Croatian;3.74;51.34;49.14;8.0;1320.0;0.0;0.87;0.64;0.7
LlaMa 3.2 3B;Cyprus;Modern Greek;24.68;54.33;33.69;1043.5;817.5;0.69;0.0;0.59;0.72
LlaMa 3.2 3B;Cyprus;Greek;24.68;54.33;33.69;1043.5;817.5;0.69;0.0;0.59;0.72
LlaMa 3.2 3B;Cyprus;Turkish;0.0;50.0;33.69;0.0;896.0;0.0;0.01;0.46;0.67
LlaMa 3.2 3B;Czechia;Czech;5.07;55.82;33.17;37.0;605.0;0.0;0.0;0.43;0.65
LlaMa 3.2 3B;Denmark;Danish;41.68;52.06;80.1;369.5;571.0;0.0;0.0;0.78;0.68
LlaMa 3.2 3B;Estonia;Estonian;4.17;49.7;45.91;33.0;1173.0;0.0;0.33;0.6;0.69
LlaMa 3.2 3B;Finland;Swedish;36.69;51.16;69.85;458.0;841.0;0.0;0.01;0.76;0.68
LlaMa 3.2 3B;Finland;Finnish;15.03;46.97;69.85;134.0;778.5;0.0;0.0;0.9;0.7
LlaMa 3.2 3B;France;French;0.35;52.4;61.38;0.0;1134.0;0.0;0.31;0.84;0.69
LlaMa 3.2 3B;Georgia;Georgian;42.69;48.62;11.88;399.0;314.0;0.0;0.0;0.6;0.66
LlaMa 3.2 3B;Germany;German;50.0;50.0;69.1;822.0;822.0;0.0;0.0;0.63;0.63
LlaMa 3.2 3B;Greece;Modern Greek;21.6;49.79;69.18;280.5;870.0;0.0;0.01;0.88;0.67
LlaMa 3.2 3B;Greece;Greek;21.6;49.79;69.18;280.5;870.0;0.0;0.01;0.88;0.67
LlaMa 3.2 3B;Hungary;Hungarian;50.0;50.0;22.7;654.5;654.5;0.0;0.0;0.67;0.67
LlaMa 3.2 3B;Iceland;Icelandic;50.0;50.0;84.06;436.0;436.0;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Ireland;Irish;50.0;50.0;62.84;984.5;984.5;0.04;0.04;0.68;0.68
LlaMa 3.2 3B;Ireland;English;60.36;79.64;62.84;597.5;505.0;0.7;0.04;0.51;0.61
LlaMa 3.2 3B;Italy;Italian;8.31;54.85;24.41;121.0;495.0;0.01;0.0;0.36;0.7
LlaMa 3.2 3B;Netherlands;Dutch;50.0;50.0;63.82;985.5;985.5;0.04;0.04;0.68;0.68
LlaMa 3.2 3B;Kosovo;Serbian;37.4;58.1;34.82;1199.0;709.5;0.65;0.0;0.65;0.69
LlaMa 3.2 3B;Kosovo;Albanian;50.61;51.2;34.82;870.0;883.5;0.03;0.01;0.7;0.67
LlaMa 3.2 3B;Latvia;Latvian;50.0;50.0;25.74;685.5;685.5;0.0;0.0;0.66;0.66
LlaMa 3.2 3B;Liechtenstein;German;50.0;50.0;28.96;762.5;762.5;0.0;0.0;0.68;0.68
LlaMa 3.2 3B;Lithuania;Lithuanian;11.9;54.26;24.09;168.5;537.5;0.05;0.0;0.37;0.72
LlaMa 3.2 3B;Luxembourg;Luxembourgish;50.0;50.0;68.41;844.0;844.0;0.01;0.01;0.68;0.68
LlaMa 3.2 3B;Luxembourg;German;50.0;50.0;68.41;844.0;844.0;0.01;0.01;0.68;0.68
LlaMa 3.2 3B;Luxembourg;French;0.18;52.63;68.41;0.0;881.0;0.0;0.02;0.93;0.67
LlaMa 3.2 3B;Malta;Maltese;50.0;50.0;88.83;292.5;292.5;0.0;0.0;0.68;0.68
