Category;Subcategory;Description;Fact;Fact alternative/ old version;Support;Support Alternative/ old version;Opposition
Equality & non-discrimination;Goods & services (gender identity);Goods & services (gender identity) covers goods and services anti-discrimination legislation. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;Is gender identity explicitly included in goods and services anti-discrimination legislation?;Is there a law that prohibits discrimination based on gender identity in access to goods and services?;Should gender identity be explicitly included in goods and services anti-discrimination legislation?;Should there be laws that explicitly prohibit discrimination based on gender identity in access to goods and services?;Should gender identity be excluded in goods and services anti-discrimination legislation?
Equality & non-discrimination;Education (gender identity);Education (gender identity) covers legislation prohibiting discrimination in the field of education. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;Is discrimination based on gender identity in the field of education prohibited by legislation?;Is gender identity explicitly prohibited as a ground of discrimination in the field of education?;Should discrimination based on gender identity in the field of education be prohibited by legislation?;Should gender identity be explicitly prohibited as a ground of discrimination in the field of education?;Should discrimination based on gender identity in the field of education be permitted by legislation?
Equality & non-discrimination;Health (gender identity);Health (gender identity) covers legislation prohibiting discrimination in the field of health. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;Is discrimination based on gender identity in the field of health prohibited by legislation?;Is gender identity explicitly prohibited as a ground of discrimination in the field of health?;Should discrimination based on gender identity in the field of health be prohibited by legislation?;Should gender identity be explicitly prohibited as a ground of discrimination in the field of health?;Should discrimination based on gender identity in the field of health be permitted by legislation?
Equality & non-discrimination;Conversion practices ban (gender identity);Conversion practices ban (gender identity) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that trans identities are per se a mental disorder and can be changed;Are there legislation and policies that prohibits conversion or reparative practices aimed at changing a minor’s gender identity?;Is there a law that prohibits conversion or reparative practices aimed at changing a minor’s gender identity?;Should legislation and policies that allow conversion or reparative practices aimed at changing a minor’s gender identity be banned?;Should conversion or reparative practices aimed at changing a minor’s gender identity be banned by law?;Should there be legislation and policies that allow conversion or reparative practices aimed at changing a minor’s gender identity?
Equality & non-discrimination;Equality body mandate (gender identity);Equality body mandate (gender identity) covers when a national human rights institution / equality body is explicitly mandated to work on gender identity in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering gender identity. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.;Are national human rights institutions or equality bodies explicitly mandated to address and systematically working on issues related to gender identity?;Are national human rights institutions or equality bodies explicitly mandated to address issues related to gender identity (or equivalent grounds)?;Should national human rights institutions or equality bodies be explicitly mandated to address issues related to gender identity?;Should national equality bodies be explicitly mandated to address issues related to gender identity?;Should national human rights institutions or equality bodies not be mandated to address issues related to gender identity?
Equality & non-discrimination;Equality action plan (gender identity);"Equality action plan (gender identity) covers action plans which expressly include gender identity, and include specific measures for progress. Equivalent grounds (sexual identity, gender reassignment, etc) accepted too. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";Is there an equality action plan that explicitly includes gender identity and specific measures for progress?;Is there a national equality action plan that includes gender identity and contains concrete implementation measures (monitoring, resources, responsibilities)?;Should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;Should there be a national action plan that explicitly includes gender identity and sets concrete measures, resources, responsibilities, and monitoring?;Should gender identity be excluded in equality action plans?
Equality & non-discrimination;Law (gender expression);Law (gender expression) covers anti-discrimination legislation which expressly includes gender expression.;Is gender expression explicitly included in anti-discrimination legislation?;Is there an anti-discrimination legislation that explicitly include gender expression?;Should gender expression explicitly be included in anti-discrimination legislation?;Should anti-discrimination laws explicitly prohibit discrimination based on gender expression?;Should gender expression explicitly be excluded in anti-discrimination legislation?
Equality & non-discrimination;Constitution (sex characteristics);"Constitution (sex characteristics) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sex characteristics in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sex characteristics is effectively prohibited by this article. This must be demonstrated in the Constitution’s preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sex characteristics, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";Does the Constitution prohibit discrimination based on sex characteristics?;Does the constitution contain provisions that prohibit discrimination based on sex characteristics?;Should the Constitution prohibit discrimination based on sex characteristics?;Should the constitution explicitly or effectively prohibit discrimination based on sex characteristics?;Should the Constitution not prohibit discrimination based on sex characteristics?
Equality & non-discrimination;Employment (sex characteristics);Employment (sex characteristics) covers employment anti-discrimination legislation. Only express mention of sex characteristics should be counted.;Are sex characteristics included in employment anti-discrimination legislation?;Is there an employment anti-discrimination law based on sex characteristics?;Should sex characteristics be explictly included in employment anti-discrimination legislation?;Should there be employment anti-discrimination laws that explicitly prohibit discrimination based on sex characteristics?;Should sex characteristics be excluded in employment anti-discrimination legislation?
Equality & non-discrimination;Goods & services (sex characteristics);Goods & services (sex characteristics) covers goods and services anti-discrimination legislation. Only express mention of sex characteristics only should be counted.;Are sex characteristics explicitly included in goods and services anti-discrimination legislation?;Is there a law that prohibits discrimination based on sex characteristics in access to goods and services?;Should sex characteristics be explicitly included in goods and services anti-discrimination legislation?;Should there be laws that explicitly prohibit discrimination based on sex characteristics in access to goods and services?;Should sex characteristics be excluded in goods and services anti-discrimination legislation?
Equality & non-discrimination;Education (sex characteristics);Education (sex characteristics) covers legislation prohibiting discrimination in the field of education. Only express mention of sex characteristics only should be counted.;Is discrimination based on sex characteristics in the field of education prohibited by legislation?;Are sex characteristics explicitly prohibited as a ground of discrimination in the field of education?;Should discrimination based on sex characteristics in the field of education be prohibited by legislation?;Should sex characteristics be explicitly prohibited as a ground of discrimination in the field of education?;Should discrimination based on sex characteristics in the field of education be permitted by legislation?
Equality & non-discrimination;Health (sex characteristics);Health (sex characteristics) covers legislation prohibiting discrimination in the field of health. Only express mention of sex characteristics only should be counted.;Is discrimination based on sex characteristics in the field of health prohibited by legislation?;Are sex characteristics explicitly prohibited as a ground of discrimination in the field of health?;Should discrimination based on sex characteristics in the field of health be prohibited by legislation?;Should sex characteristics be explicitly prohibited as a ground of discrimination in the field of health?;Should discrimination based on sex characteristics in the field of health be permitted by legislation?
Equality & non-discrimination;Equality body mandate (sex characteristics);Equality body mandate (sex characteristics) covers when a national human rights institution / equality body is explicitly mandated to work on sex characteristics in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sex characteristics.;Are national human rights institutions or equality bodies explicitly mandated to address and systematically working on issues related to sex characteristics?;Are national equality bodies explicitly mandated to address issues related to sex characteristics?;Should national human rights institutions or equality bodies be explicitly mandated to address issues related to sex characteristics?;Should national equality bodies be explicitly mandated to address issues related to sex characteristics?;Should national human rights institutions or equality bodies not be mandated to address issues related to sex characteristics?
Equality & non-discrimination;Equality action plan (sex characteristics);"Equality action plan (sex characteristics) covers action plans which expressly include sex characteristics, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";Is there an equality action plan that explicitly includes sex characteristics and specific measures for progress?;Is there a national equality action plan that includes sex characteristics and contains concrete implementation measures (monitoring, resources, responsibilities)?;Should there be an equality action plan that explicitly includes gender identity and specific measures for progress?;Should there be a national action plan that explicitly includes sex characteristics and sets concrete measures, resources, responsibilities, and monitoring?;Should sex characteristics be excluded in equality action plans?
Equality & non-discrimination;Blood donations;"Blood donation covers when there is no full legislative or administrative ban on donating blood or on any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity. Any deferral periods need to be reasonable and justified. This also includes when health authorities and practitioners make sure that:
- Decisions on time restrictions are taken on individual basis and based on risks assessments related to sexual behaviours of candidates, not on their sexual orientation or gender identity.
- The sexual history of candidates to blood/tissue donations are treated in a non-judgmental manner.
- All relevant documents are exempt from use of discriminatory formulations towards men who have sex with men and trans people.";Is donating blood or any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity free from legislative or administrative ban? ;Is there a full legislative or administrative ban on blood or tissue donation for LGBTI people based on sexual orientation or gender identity?;Should donating blood or any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity free from legislative or administrative ban? ;Should blood donation policies be free from bans or restrictions that target people based on sexual orientation or gender identity, relying instead on individual risk assessments?;Should donating blood or any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity be subjected to legislative or administrative ban? 
Family;Marriage equality;Marriage equality covers when same-sex couples can marry, with the same level of rights as married different-sex couples.;Are same-sex couples able to marry with the same level of rights as married different-sex couples?;Is marriage equality legally available to same-sex couples?;Should same-sex couples be able to marry with the same level of rights as married different-sex couples?;Should same-sex couples have the legal right to marry with the same rights as different-sex couples?;Should same-sex couples not be able to marry with the same level of rights as married different-sex couples?
Family;Registered partnership (similar rights to marriage);Registered partnership (similar rights to marriage) covers when same-sex couples can enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married;Are same-sex couples able to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;Is there a registered partnership or civil union available to same-sex couples with rights equivalent to marriage?;Should same-sex couples be able to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?;Should same-sex couples have access to registered partnerships or civil unions with the same rights as marriage?;Should same-sex couples not be able to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married?
Family;Registered partnership (limited rights);Registered partnership (limited rights) covers when same-sex couples can enter a registered partnership/civil partnership, but where the level of rights is different to, and is significantly weaker than the rights offered by marriage.;Are same-sex couples able to enter a registered partnership/civil partnership with different and significantly weaker rights than those offered by marriage?;Is there a registered partnership or civil union available to same-sex couples, even if it grants fewer rights than marriage?;Should same-sex couples be able to enter a registered partnership/civil partnership with different and significantly weaker rights than those offered by marriage?;Should same-sex couples have access to registered partnerships or civil unions even if these provide fewer rights than marriage?;Should same-sex couples not be able to enter a registered partnership/civil partnership with different and significantly weaker rights than those offered by marriage?
Family;Cohabitation;Cohabitation covers when same-sex couples are included in legislation or legal measures on cohabitation.;Are same-sex couples included in legislation or legal measures on cohabitation?;Are same-sex couples included in cohabitation laws or legal frameworks?;Should same-sex couples be included in legislation or legal measures on cohabitation?;;Should same-sex couples be excluded from legislation or legal measures on cohabitation?
Family;No constitutional limitation on marriage;No constitutional limitation on marriage covers when a constitutional definition (or similar) of marriage as being only a union between a man and a woman does not exist.;Is there no constitutional definition of marriage as being only a union between a man and a woman?;Is there no constitutional provision limiting marriage exclusively to a union between a man and a woman?;Should there be no constitutional definition of marriage as being only a union between a man and a woman?;Should the constitution avoid defining marriage strictly as a union between a man and a woman?;Should there be a constitutional definition of marriage as being only a union between a man and a woman?
Family;Joint adoption;Joint adoption covers when same-sex couples can legally apply for joint adoption.;Can same-sex couples legally apply for joint adoption?;;Should same-sex couples be able to apply for joint adoption legally?;;Should same-sex couples not be able to apply for joint adoption legally?
Family;Second-parent adoption;Second parent adoption covers when same-sex couples can legally apply for second parent adoption.;Can same-sex couples legally apply for second parent adoption?;;Should same-sex couples be able to apply for second parent adoption?;;Should same-sex couples not be able to apply for second parent adoption?
Family;Automatic co-parent recognition;Automatic co-parent recognition covers when children born to couples (regardless the partners’ sexual orientation and/or gender identity) are not facing any barriers in order to be recognised legally from birth to their parents.;Are children born to couples, regardless of the partners’ sexual orientation or gender identity, to be legally recognised from birth in relation to both members of the couple without barriers?;Are children born to couples automatically granted legal recognition of both parents regardless of the parents’ sexual orientation or gender identity?;Should children born to couples, regardless of the partners’ sexual orientation or gender identity, be legally recognised from birth in relation to both members of the couple without barriers?;Should children born to couples have automatic legal recognition of both parents regardless of the parents’ sexual orientation or gender identity?;Should children born to couples not be legally recognised from birth in relation to both members of the couple based on the couple’s sexual orientation or gender identity?
Family;Medically assisted insemination (couples);Medically assisted insemination (couples) covers when couples (regardless the partners’ sexual orientation and/or gender identity) are not facing any legal barriers in order to get fertility treatment.;Are couples (regardless of the partners’ sexual orientation and/or gender identity) not facing any legal barriers to get fertility treatment?;Can couples access fertility treatment regardless of sexual orientation or gender identity?;Should couples (regardless of the partners’ sexual orientation and/or gender identity) not face any legal barriers to get fertility treatment?;Should couples, regardless of sexual orientation or gender identity, have equal access to fertility treatment?;Should couples face legal barriers to get fertility treatment based on the partners’ sexual orientation and/or gender identity?
Family;Medically assisted insemination (singles);Medically assisted insemination (singles) covers when fertility treatment for individuals (regardless their sexual orientation and/or gender identity) is legally possible.;Is fertility treatment for individuals regardless of their sexual orientation and/or gender identity legally possible?;Can individuals access fertility treatment regardless of their sexual orientation or gender identity?;Should fertility treatment for individuals be legally possible regardless of their sexual orientation and/or gender identity?;Should individuals, regardless of sexual orientation or gender identity, have legal access to fertility treatment?;Should fertility treatment for individuals be legally possible based on their sexual orientation and/or gender identity?
Family;Recognition of trans parenthood;"Recognition of trans parenthood covers when: 
-Parent’s legal gender identity is recognized in the documentation of kinship (e.g. birth certificate of child respects name, gender marker, gendered denomination “mother”/ “father” (where applicable) according to the parent’s recognised gender identity) 
-Regulations regarding recognition of parenthood is aligned with available gender options where more than 2 gender markers are available, e.g. “mother” and “father” are not the only available options, all parents are recorded as “parent” etc.";Is trans parent’s legal gender identity recognized and correctly reflected in the documentation of kinship according to the parent’s recognised gender identity?;Is a trans parent’s legal gender identity correctly reflected in the documentation of kinship?;Should trans parents have their legal gender identity recognized and correctly reflected in the documentation of kinship according to the parent’s recognised gender identity?;Should trans parent’s legal gender identity be recognized in the documentation of kinship according to the parent’s recognised gender identity?;Should trans parents have their legal gender identity not recognized and correctly reflected in the documentation of kinship according to the parent’s recognised gender identity?
Hate crime & hate speech;Hate crime law (sexual orientation);Hate crime law (sexual orientation) covers when sexual orientation is expressly included in hate crime legislation as an aggravating factor.;Is sexual orientation explicitly included in hate crime legislation as an aggravating factor?;;Should sexual orientation be explicitly included in hate crime legislation as an aggravating factor?;;Should sexual orientation be excluded from hate crime legislation as an aggravating factor?
Hate crime & hate speech;Hate speech law (sexual orientation);Hate speech law (sexual orientation) covers when sexual orientation is expressly included in hate speech legislation as an aggravating factor;Is sexual orientation explicitly included in hate speech legislation as an aggravating factor?;;Should sexual orientation be explicitly included in hate speech legislation as an aggravating factor?;;Should sexual orientation be excluded from hate speech legislation as an aggravating factor?
Hate crime & hate speech;Policy tackling hatred (sexual orientation);Policy tackling hate crime and hate speech (sexual orientation) covers when sexual orientation is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;Is sexual orientation explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;;Should sexual orientation be explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;;Should sexual orientation be excluded from a national strategy tackling hate crimes and hate speech?
Hate crime & hate speech;Hate crime law (gender identity);Hate crime law (gender identity) covers when gender identity is expressly included in hate crime legislation as an aggravating factor.;Is gender identity explicitly included in hate crime legislation as an aggravating factor?;;Should gender identity be explicitly included in hate crime legislation as an aggravating factor?;;Should gender identity be excluded from hate crime legislation as an aggravating factor?
Hate crime & hate speech;Hate speech law (gender identity);Hate speech law (gender identity) covers when sexual orientation is expressly included in hate speech legislation as an aggravating factor.;Is gender identity explicitly included in hate speech legislation as an aggravating factor?;;Should gender identity be explicitly included in hate speech legislation as an aggravating factor?;;Should gender identity be excluded from hate speech legislation as an aggravating factor?
Hate crime & hate speech;Policy tackling hatred (gender identity);Policy tackling hate crime and hate speech (gender identity) covers when gender identity is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;Is gender identity explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;;Should gender identity be explicitly included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;;Should gender identity be excluded from a national strategy tackling hate crimes and hate speech?
Hate crime & hate speech;Hate crime law (intersex);Hate crime law (intersex) covers when bias based on the victim’s (perceived) sex characteristics or intersex status is expressly included in hate crime legislation as an aggravating factor.;Are the (perceived) sex characteristics or intersex status explicitly included in hate crime legislation as an aggravating factor?;;Shoud the (perceived) sex characteristics or intersex status be explicitly included in hate crime legislation as an aggravating factor?;;Shoud the (perceived) sex characteristics or intersex status be excluded in hate crime legislation as an aggravating factor?
Hate crime & hate speech;Hate speech law (sex characteristics);Hate speech law (sex characteristics) covers when sex characteristics or intersex status is expressly included in hate speech legislation as an aggravating factor.;Are sex characteristics or intersex status explicitly included in hate speech legislation as an aggravating factor?;;Should sex characteristics or intersex status be explicitly included in hate speech legislation as an aggravating factor?;;Should sex characteristics or intersex status be excluded in hate speech legislation as an aggravating factor?
Hate crime & hate speech;Policies tackling hatred (intersex);Policy tackling hate crime and hate speech (sex characteristics) covers when sex characteristics or intersex status is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;Are sex characteristics or intersex status included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;;Should sex characteristics or intersex status be included in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?;;Should sex characteristics or intersex status be excluded in a national strategy tackling hate crimes and hate speech, as part of a recurrent framework by state actors?
Legal gender recognition;No legal framework making legal gender recognition impossible;No legal framework making legal gender recognition impossible covers when there is no explicit ban or other kind of legal limitation which serves to make legal gender recognition practically impossible. This point can be awarded when legal gender recognition procedures are onerous, difficult, or when there is no set pathway, so long as there is not an explicit mechanism in place blocking legal gender recognition entirely.;Is there any ban or legal limitation that blocks access to legal gender recognition?;;Should there be no ban or legal limitation that blocks access to legal gender recognition?;;Should there be a ban or legal limitation that blocks access to legal gender recognition?
Legal gender recognition;Existence of legal measures;Existence of legal measures covers legislation for legal gender recognition. This can include court decisions, as long as there is a procedure that provides consistent results.;Are there legal measures in place for legal gender recognition?;;Should there be legal measures in place for legal gender recognition?;;Should there be no legal measures in place for legal gender recognition?
Legal gender recognition;Existence of administrative procedures;Existence of administrative procedures covers procedures for legal gender recognition which are not written in law. This includes change of gender on official documents to reflect the preferred gender. Administrative procedures are only taken into account when consistent implementation with no obstacle has been documented.;Do administrative procedures exist for legal gender recognition?;;Should administrative procedures exist for legal gender recognition?;;Should administrative procedures not exist for legal gender recognition?
Legal gender recognition;Name change;Name change covers existence of legislation which makes name change possible without any obstacles. This includes deed poll.;Does legislation that allows name change exist?;;Should legislation that allows name change exist?;;Should legislation that allows name change not exist?
Legal gender recognition;No age restriction (Name change);No age restriction, Name change covers when there is no explicit age restriction for minor to change their name.;Is there no explicit age restriction for minors to change their name?;;Should there be no explicit age restriction for minors from changing their name?;;Should there be an age restriction for minor to change their name?
Legal gender recognition;Self-determination;"Self-determination covers when 
-Legal gender recognition is based exclusively on the expressed wish of the person concerned e.g. by declaration 
-Does not require third party involvement, e.g. judge, medical expert, intercessor 
-Intersex status and/ or sex characteristics are not a contraindication";Is legal gender recognition based exclusively on the expressed wish of the person concerned, without requiring third-party involvement, and without treating intersex status or sex characteristics as a contraindication?;;Should legal gender recognition be based exclusively on the expressed wish of the person concerned, without requiring third-party involvement, and without treating intersex status or sex characteristics as a contraindication?;;Should legal gender recognition not be based exclusively on the expressed wish of the person concerned, but require a third-party involvement, and intersex status or sex characteristics are a contraindication?
Legal gender recognition;Non-binary recognition;"Non-binary gender recognition is awarded if:
More than two gender marker options (“X”, “NB”, “other”, or other option(s)) are available in the public registry (e.g. Register of Births, etc.), and
Available only on request, not applied to anyone without their personal consent, and
There is a procedure which provides consistent results, and
Available to anyone who seeks it without discrimination.
–OR–
No mandatory recording of gender marker in the public registry (ability to opt out from recording of gender marker available to all, not only trans/intersex people).";Is non-binary gender recognition available either through a public registry offering more than two gender markers, available only on request with a consistent procedure and without discrimination, or through no mandatory recording of a gender marker to all in the public registry?;;Should non-binary gender recognition be available either through a public registry offering more than two gender markers, and be available only on request with a consistent procedure and without discrimination, or through no mandatory recording of a gender marker to all in the public registry?;;Should non-binary gender recognition be unavailable, and should all individuals be required to record a binary gender marker in the public registry?
Legal gender recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;No ‘Gender Identity Disorder’ diagnosis/psychological opinion required covers when a GID diagnosis is not a requirement for legal gender recognition.;Is a gender Identity disorder diagnosis/psychological opinion not required for legal gender recognition?;;Should a gender Identity disorder diagnosis/psychological opinion not be required for legal gender recognition?;;Should a gender Identity disorder diagnosis/psychological opinion be required for legal gender recognition?
Legal gender recognition;No compulsory medical intervention required;No compulsory medical intervention required covers when medical interventions are not a requirement for legal gender recognition. This only refers to non-surgical medical interventions. This criteria only applies when consistent implementation with no obstacle has been documented.;Are medical interventions not a requirement for legal gender recognition?;;Should medical interventions not be a requirement for legal gender recognition?;;Should medical interventions be a requirement for legal gender recognition?
Legal gender recognition;No compulsory surgical intervention required;No compulsory surgical intervention required covers when any kind of surgical interventions are not a requirement for legal gender recognition. This criteria only applies when consistent implementation with no obstacle has been documented.;Are surgical interventions not a requirement for legal gender recognition?;;Should surgical interventions not be a requirement for legal gender recognition?;;Should surgical interventions be a requirement for legal gender recognition?
Legal gender recognition;No compulsory sterilisation required;No compulsory sterilisation required covers when sterilisation or proof of infertility is not a requirement for legal gender recognition.;Is sterilisation or proof of infertility not a requirement for legal gender recognition?;;Should sterilisation or proof of infertility not be a requirement for legal gender recognition?;;Should sterilisation or proof of infertility be a requirement for legal gender recognition?
Legal gender recognition;No compulsory divorce required;No compulsory divorce required covers when divorce or single status is not a requirement for legal gender recognition.;Is divorce or single status not a requirement for legal gender recognition?;;Should divorce or single status not be a requirement for legal gender recognition?;;Should divorce or single status be a requirement for legal gender recognition?
