Category,Subcategory,Description,Question,Value
Equality & non-discrimination,Goods & services (gender identity),"Goods & services (gender identity) covers goods and services anti-discrimination legislation. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.",Laws should explicitly prohibit discrimination based on gender identity in access to goods and services.,1.10
Equality & non-discrimination,Education (gender identity),"Education (gender identity) covers legislation prohibiting discrimination in the field of education. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.",Laws should explicitly prohibit discrimination based on gender identity in education.,1.10
Equality & non-discrimination,Health (gender identity),"Health (gender identity) covers legislation prohibiting discrimination in the field of health. Express mention of gender identity only should be counted. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.",Laws should explicitly prohibit discrimination based on gender identity in healthcare.,1.10
Equality & non-discrimination,Conversion practices ban (gender identity),Conversion practices ban (gender identity) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that trans identities are per se a mental disorder and can be changed,Conversion practices targeting minors based on gender identity should be explicitly prohibited by law.,0.80
Equality & non-discrimination,Equality body mandate (gender identity),"Equality body mandate (gender identity) covers when a national human rights institution / equality body is explicitly mandated to work on gender identity in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering gender identity. Equivalent grounds (sexual identity, gender reassignment, etc) are accepted too.","National equality action plans should explicitly include gender identity and contain concrete implementation measures such as monitoring, resources, and responsibilities.",0.78
Equality & non-discrimination,Equality action plan (gender identity),"Equality action plan (gender identity) covers action plans which expressly include gender identity, and include specific measures for progress. Equivalent grounds (sexual identity, gender reassignment, etc) accepted too. In addition, we only take into account when the action plan either entails or is followed up with the following measures:

- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure",National equality bodies should be explicitly mandated and actively engaged in addressing issues related to gender identity.,0.88
Equality & non-discrimination,Law (gender expression),Law (gender expression) covers anti-discrimination legislation which expressly includes gender expression.,Anti-discrimination laws should explicitly include gender expression as a protected ground.,1.83
Equality & non-discrimination,Constitution (sex characteristics),"Constitution (sex characteristics) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sex characteristics in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sex characteristics is effectively prohibited by this article. This must be demonstrated in the Constitution’s preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sex characteristics, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)",Constitutional protections should explicitly or effectively prohibit discrimination based on sex characteristics.,0.16
Equality & non-discrimination,Employment (sex characteristics),Employment (sex characteristics) covers employment anti-discrimination legislation. Only express mention of sex characteristics should be counted.,Employment laws should explicitly prohibit discrimination based on sex characteristics.,1.10
Equality & non-discrimination,Goods & services (sex characteristics),Goods & services (sex characteristics) covers goods and services anti-discrimination legislation. Only express mention of sex characteristics only should be counted.,aws should explicitly prohibit discrimination based on sex characteristics in access to goods and services.,1.10
Equality & non-discrimination,Education (sex characteristics),Education (sex characteristics) covers legislation prohibiting discrimination in the field of education. Only express mention of sex characteristics only should be counted.,Laws should explicitly prohibit discrimination based on sex characteristics in education.,1.10
Equality & non-discrimination,Health (sex characteristics),Health (sex characteristics) covers legislation prohibiting discrimination in the field of health. Only express mention of sex characteristics only should be counted.,Laws should explicitly prohibit discrimination based on sex characteristics in healthcare.,1.10
Equality & non-discrimination,Equality body mandate (sex characteristics),"Equality body mandate (sex characteristics) covers when a national human rights institution / equality body is explicitly mandated to work on sex characteristics in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sex characteristics.","National equality action plans should explicitly include sex characteristics and contain concrete implementation measures such as monitoring, resources, and responsibilities.",0.78
Equality & non-discrimination,Equality action plan (sex characteristics),"Equality action plan (sex characteristics) covers action plans which expressly include sex characteristics, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:

- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure",National equality bodies should be explicitly mandated and actively engaged in addressing issues related to sex characteristics.,0.88
Equality & non-discrimination,Blood donations,"Blood donation covers when there is no full legislative or administrative ban on donating blood or on any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity. Any deferral periods need to be reasonable and justified. This also includes when health authorities and practitioners make sure that:

- Decisions on time restrictions are taken on individual basis and based on risks assessments related to sexual behaviours of candidates, not on their sexual orientation or gender identity.
- The sexual history of candidates to blood/tissue donations are treated in a non-judgmental manner.
- All relevant documents are exempt from use of discriminatory formulations towards men who have sex with men and trans people.",Blood and tissue donation policies should be free from blanket bans or unjustified deferral periods based on sexual orientation or gender identity.,0.91
Family,Marriage equality,,,3.75
Family,Registered partnership (similar rights to marriage),,,3.00
Family,Registered partnership (limited rights),,,2.00
Family,Cohabitation,,,1.00
Family,No constitutional limitation on marriage,,,0.75
Family,Joint adoption,,,3.00
Family,Second-parent adoption,,,1.75
Family,Automatic co-parent recognition,,,1.75
Family,Medically assisted insemination (couples),,,2.00
Family,Medically assisted insemination (singles),,,2.00
Family,Recognition of trans parenthood,,,2.50
Hate crime & hate speech,Hate crime law (sexual orientation),,,2.200
Hate crime & hate speech,Hate speech law (sexual orientation),,,2.200
Hate crime & hate speech,Policy tackling hatred (sexual orientation),,,1.930
Hate crime & hate speech,Hate crime law (gender identity),,,2.200
Hate crime & hate speech,Hate speech law (gender identity),,,2.200
Hate crime & hate speech,Policy tackling hatred (gender identity),,,1.930
Hate crime & hate speech,Hate crime law (intersex),,,2.200
Hate crime & hate speech,Hate speech law (sex characteristics),,,2.200
Hate crime & hate speech,Policies tackling hatred (intersex),,,1.930
Legal gender recognition,No legal framework making legal gender recognition impossible,,,0.75
Legal gender recognition,Existence of legal measures,,,1.50
Legal gender recognition,Existence of administrative procedures,,,1.00
Legal gender recognition,Name change,,,1.00
Legal gender recognition,No age restriction (Name change),,,0.15
Legal gender recognition,Self-determination,,,2.00
Legal gender recognition,Non-binary recognition,,,1.00
Legal gender recognition,No 'Gender Identity Disorder' diagnosis/psychological opinion required,,,1.75
Legal gender recognition,No compulsory medical intervention required,,,1.15
Legal gender recognition,No compulsory surgical intervention required,,,1.15
Legal gender recognition,No compulsory sterilisation required,,,1.70
Legal gender recognition,No compulsory divorce required,,,1.05
Legal gender recognition,No age restriction,,,1.00
Legal gender recognition,Legal gender recognition procedures exist for minors,,,0.30
Legal gender recognition,Depathologisation,,,2.00
Intersex bodily integrity,Prohibition of medical intervention without informed consent (intersex),,,2.50
Intersex bodily integrity,Universality of prohibition of medical interventions,,,0.50
Intersex bodily integrity,Existence of effective monitoring mechanism,,,1.00
Intersex bodily integrity,Access to justice for victims and reparations,,,1.00
Civil society space,"Public event held, no state obstruction of freedom of assembly (last 3 years)",,,1.50
Civil society space,"Public event held, there is enough protection (last 3 years)",,,1.50
Civil society space,"Associations operate, no state obstruction of freedom association (last 3 years)",,,1.50
Civil society space,LGBTI human rights defenders are not at risk,,,1.50
Civil society space,No laws limiting external funding,,,1.50
Civil society space,No laws limiting freedom of expression (national/local),,,1.50
Asylum,Asylum law (sexual orientation),,,1.50
Asylum,Other positive measures (sexual orientation),,,1.50
Asylum,Asylum law (gender identity),,,1.50
Asylum,Other positive measures (gender identity),,,1.50
Asylum,Asylum law (intersex),,,1.50
Asylum,Other positive measures (intersex),,,1.50
