Category;Subcategory;Fact;Support;Opposition;Stance;Fact Coherence;Fact Validity;Fact Weight coherence by validity;Stance Coherence;Stance Validity;Stance Weight coherence by validity
Equality & non-discrimination;Blood donations;0.6;1.0;0.0;1.0;0.04;1.0;0.04;1.0;1.0;1.0
Family;Marriage equality;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Registered partnership (similar rights to marriage);0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
Family;Registered partnership (limited rights);0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
Family;Cohabitation;0.2;0.8;0.0;0.9;0.36;1.0;0.36;1.0;1.0;1.0
Family;No constitutional limitation on marriage;0.0;0.0;0.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
Family;Joint adoption;0.2;0.6;0.4;0.6;0.36;1.0;0.36;0.04;1.0;0.04
Family;Second-parent adoption;0.4;1.0;0.4;0.8;0.04;1.0;0.04;0.04;1.0;0.04
Family;Automatic co-parent recognition;0.4;1.0;1.0;0.5;0.04;1.0;0.04;1.0;1.0;1.0
Family;Medically assisted insemination (couples);0.6;0.0;0.8;0.1;0.04;1.0;0.04;0.36;1.0;0.36
Family;Medically assisted insemination (singles);1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Family;Recognition of trans parenthood;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Hate crime & hate speech;Hate crime law (sexual orientation);0.2;1.0;0.0;1.0;0.36;1.0;0.36;1.0;1.0;1.0
Hate crime & hate speech;Hate speech law (sexual orientation);0.0;1.0;0.8;0.6;1.0;1.0;1.0;0.36;1.0;0.36
Hate crime & hate speech;Policy tackling hatred (sexual orientation);0.8;0.4;1.0;0.2;0.36;1.0;0.36;1.0;1.0;1.0
Hate crime & hate speech;Hate crime law (gender identity);0.2;1.0;0.4;0.8;0.36;1.0;0.36;0.04;1.0;0.04
Hate crime & hate speech;Hate speech law (gender identity);0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Hate crime & hate speech;Policy tackling hatred (gender identity);0.2;0.4;0.8;0.3;0.36;1.0;0.36;0.36;1.0;0.36
Hate crime & hate speech;Hate crime law (intersex);0.6;0.6;0.0;0.8;0.04;1.0;0.04;1.0;1.0;1.0
Hate crime & hate speech;Hate speech law (sex characteristics);0.4;0.6;0.6;0.5;0.04;1.0;0.04;0.04;1.0;0.04
Hate crime & hate speech;Policies tackling hatred (intersex);0.8;1.0;0.6;0.7;0.36;1.0;0.36;0.04;1.0;0.04
